cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples,triage_bucket,triage_reason,next_gate
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|ADULT_ROLE_DEVICE,3,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),ADULT_ROLE_DEVICE,bodystocking_only;see-through_bodystocking;torn_bodystocking,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING_STATE_EXPOSURE|RESTRAINT_FETISH,3,GENERAL_ONLY,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,(none),RESTRAINT_FETISH,popped_collar;sailor_collar_lift;unworn_collar,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CONTEXT_MODIFIER,ANATOMY,after_anal;anal_invitation;imminent_anal,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CONTEXT_MODIFIER|RESTRAINT_FETISH,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,CONTEXT_MODIFIER,RESTRAINT_FETISH,bdsm;imminent_spanking;implied_bondage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|FLUID_STATE_ACTION|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,FLUID_STATE_ACTION,ANATOMY,cumdrip_from_penis;peeing_on_penis;penis_milking,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|NONE,3,OVERLAP,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,IMPLEMENT_OBJECT,NONE,holding_butt_plug;lube;strap-on,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,ANATOMY,anal_fisting;double_anal;multiple_anal,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,MULTI_ACTOR_INTERACTION,ANATOMY,cooperative_breast_smother;cooperative_nipple_licking;cooperative_testicle_sucking,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|POSE_COMPOSITION|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,POSE_COMPOSITION,ANATOMY,presenting_own_anus;presenting_own_pussy;presenting_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|REACTION_STATE|NONE,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,REACTION_STATE,NONE,afterglow;fucked_silly;mind_break,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|SELF_ACTION|ANATOMY,3,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,SELF_ACTION,ANATOMY,crotch_rub;spreading_own_anus;spreading_own_pussy,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|NONHUMAN_INTERACTION|ANATOMY,3,OVERLAP,BODY_PART,BODY_PART,NONHUMAN_INTERACTION,ANATOMY,animal_penis;mechanical_penis;penis_tentacle,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_ATTRIBUTE|EXPOSURE_INTIMATE,3,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_ATTRIBUTE,EXPOSURE_INTIMATE,cleavage_cutout;topless_female;underboob_cutout,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|NONHUMAN_INTERACTION|NONE,3,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,NONHUMAN_INTERACTION,NONE,living_clothes;tentacle_clothes;tentacle_hair_ornament,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|RESTRAINT_ACTION|NONE,3,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,RESTRAINT_ACTION,NONE,shibari_over_clothes;shibari_under_clothes;shrimp_tie,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|(none)|ANATOMY,3,OVERLAP,OBJECT_PROP,OBJECT_PROP,(none),ANATOMY,nipple_suction_cups;nipple_weights;nipple_zipper,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|(none)|EXPLICIT_SEX,3,OVERLAP,OBJECT_PROP,OBJECT_PROP,(none),EXPLICIT_SEX,body_onahole;character-themed_onahole;silicone_chainsaw_(sex_tool),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|NONHUMAN_INTERACTION|NONE,3,OVERLAP,OBJECT_PROP/DAILY,OBJECT_PROP,NONHUMAN_INTERACTION,NONE,stinger;suction_cups;suction_tentacles,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|POSE_MOVEMENT|RESTRAINT_ACTION|NONE,3,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,RESTRAINT_ACTION,NONE,legs_bound_apart;restrained;reverse_prayer,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|STYLE_QUALITY_META|DAMAGE_STATE_ACTION|NONE,3,OVERLAP,STYLE_QUALITY_META,STYLE_QUALITY_META,DAMAGE_STATE_ACTION,NONE,body_horror;ero_guro;guro,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|(none)|ANATOMY,2,GENERAL_ONLY,(none),(none),(none),ANATOMY,iced_latte_with_breast_milk_(meme);lightning_crotch_(meme),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|(none)|EXPOSURE_INTIMATE,2,GENERAL_ONLY,(none),(none),(none),EXPOSURE_INTIMATE,panties_day;your_bra_strap_is_showing_(meme),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|EXPLICIT_SEX,2,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),EXPLICIT_SEX,implied_prostitution;mixed-sex_bathing,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|ADULT_ROLE_DEVICE,2,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),ADULT_ROLE_DEVICE,condom_in_hair;condom_on_head,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|ANATOMY,2,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),ANATOMY,hand_on_another's_crotch;hands_on_another's_crotch,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTIMATE|EXPLICIT_SEX,2,GENERAL_ONLY,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),EXPLICIT_SEX,male_prostitution;same-sex_bathing,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/OBJECT_USE|ANATOMY,2,GENERAL_ONLY,ACTION_CONTACT/OBJECT_USE,ACTION_CONTACT,(none),ANATOMY,fanning_crotch;shaving_crotch,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/ACCESSORY|ANATOMY,2,GENERAL_ONLY,CLOTHING/ACCESSORY,CLOTHING,(none),ANATOMY,crotch_strap;crotch_zipper,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/COSTUME|ADULT_ROLE_DEVICE,2,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),ADULT_ROLE_DEVICE,divine_bustier_(dq);gravure_swimsuit_(idolmaster),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|CLOTHING/COSTUME|EXPOSURE_INTIMATE,2,GENERAL_ONLY,CLOTHING/COSTUME,CLOTHING,(none),EXPOSURE_INTIMATE,claw_bra;sailor_moon_narikiri_bra_set,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|OBJECT_PROP|NONE,2,GENERAL_ONLY,OBJECT_PROP,OBJECT_PROP,(none),NONE,arm_slave_(mecha);poop_on_a_stick,SPLIT_REQUIRED,mixed_semantic_cluster,"derive smaller subclusters/negative controls, then adversarial-scan each subcluster"
GENERAL_ONLY|STYLE_QUALITY_META|INJURY,2,GENERAL_ONLY,STYLE_QUALITY_META,STYLE_QUALITY_META,(none),INJURY,blood_censor;stylized_blood,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
OVERLAP|(none)|(none)|ANATOMY,2,OVERLAP,(none),(none),(none),ANATOMY,game_controller_nipples_(meme);nipple_guessing_game_(meme),BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|MULTI_ACTOR_INTERACTION|NONE,2,OVERLAP,(none),(none),MULTI_ACTOR_INTERACTION,NONE,love_train;shimaidon,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|(none)|NONHUMAN_INTERACTION|NONE,2,OVERLAP,(none),(none),NONHUMAN_INTERACTION,NONE,kankaku_shadan;mindflayer,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|(none)|EXPOSURE_INTIMATE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),EXPOSURE_INTIMATE,cleavage_cutout_tug;spread_cleavage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|(none)|REPRO,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,(none),REPRO,mutual_impregnation;requesting_impregnation,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE,nude_modeling;rear_naked_choke,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|CLOTHING_EXPOSURE|RESTRAINT_FETISH,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,CLOTHING_EXPOSURE,RESTRAINT_FETISH,collar_grab;collar_tug,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|DAMAGE_STATE_ACTION|NONE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,DAMAGE_STATE_ACTION,NONE,decapitation;necrophilia,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|ADULT_ROLE_DEVICE+ANATOMY,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,ADULT_ROLE_DEVICE+ANATOMY,condom_on_nipples;condom_on_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|IMPLEMENT_OBJECT|ANATOMY,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,IMPLEMENT_OBJECT,ANATOMY,anal_beads;anal_tail,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|INSERTION_STRUCTURED|EXPLICIT_SEX,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,INSERTION_STRUCTURED,EXPLICIT_SEX,fingering;urethral_fingering,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|MACHINE_STRUCTURED|NONE,2,OVERLAP,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,MACHINE_STRUCTURED,NONE,milking_machine;riding_machine,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|MULTI_ACTOR_INTERACTION|EXPLICIT_SEX,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,MULTI_ACTOR_INTERACTION,EXPLICIT_SEX,cooperative_footjob;mutual_fingering,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|NONHUMAN_INTERACTION|ANATOMY,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,NONHUMAN_INTERACTION,ANATOMY,pussy_tentacle;tentacle_on_penis,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|ACTION_CONTACT|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,2,OVERLAP,ACTION_CONTACT/INTIMATE,ACTION_CONTACT,RESTRAINT_IMPLEMENT,ANATOMY+RESTRAINT_FETISH,clitoris_clamp;clitoris_leash,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE,2,OVERLAP,BODY_PART,BODY_PART,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE,full_cleavage;toe_cleavage,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|CONTEXT_MODIFIER|NONE,2,OVERLAP,BODY_PART,BODY_PART,CONTEXT_MODIFIER,NONE,implied_erection;implied_futanari,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|BODY_PART|REPRO_BODY_STATE|NONE,2,OVERLAP,BODY_PART,BODY_PART,REPRO_BODY_STATE,NONE,cervix;uterus,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|BODY_ATTRIBUTE|NONE,2,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,BODY_ATTRIBUTE,NONE,cameltoe;sideboob,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|DIRECT_COMPOSITE|NONE,2,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,DIRECT_COMPOSITE,NONE,erection_under_blanket;erection_under_towel,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|RESTRAINT_ACTION|RESTRAINT_FETISH,2,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,RESTRAINT_ACTION,RESTRAINT_FETISH,gagged;leash_pull,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING_STATE_EXPOSURE|SCENE_CONTEXT|NONE,2,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,SCENE_CONTEXT,NONE,public_nudity;zenra,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|(none)|RESTRAINT_FETISH,2,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),RESTRAINT_FETISH,blindfold_mask;tape_blindfold,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|BODY_ATTRIBUTE|ANATOMY,2,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,BODY_ATTRIBUTE,ANATOMY,nipple_tag;nipple_tassels,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ADULT_ROLE_DEVICE,2,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,CLOTHING_EXPOSURE,ADULT_ROLE_DEVICE,bodystocking;bustier,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|EXPLICIT_SEX,2,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,CLOTHING_EXPOSURE,EXPLICIT_SEX,fuck-me_clothes;fuck-me_shirt,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|CLOTHING|POSE_COMPOSITION|NONE,2,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,POSE_COMPOSITION,NONE,downpants;top-down_bottom-up,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COLOR_APPEARANCE|CLOTHING_EXPOSURE|NONE,2,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,CLOTHING_EXPOSURE,NONE,lace;latex,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|COMPOSITION_CAMERA|POSE_COMPOSITION|NONE,2,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,POSE_COMPOSITION,NONE,ass_focus;futanari_pov,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|FLUID_STATE_ACTION|NONE,2,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,FLUID_STATE_ACTION,NONE,drooling;have_to_pee,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|EXPRESSION_EMOTION|REACTION_STATE|NONE,2,OVERLAP,EXPRESSION_EMOTION,EXPRESSION_EMOTION,REACTION_STATE,NONE,naughty_face;torogao,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|GAZE_ORIENTATION|ACTION_INTERACTION|ANATOMY,2,OVERLAP,GAZE_ORIENTATION,GAZE_ORIENTATION,ACTION_INTERACTION,ANATOMY,looking_at_penis;looking_at_pussy,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|LIVING_NATURE|NONHUMAN_INTERACTION|NONE,2,OVERLAP,LIVING_NATURE/CREATURE,LIVING_NATURE,NONHUMAN_INTERACTION,NONE,octopus_boy;scylla,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|LIVING_NATURE|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH,2,OVERLAP,LIVING_NATURE/CREATURE,LIVING_NATURE,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH,improvised_gag;spider_gag,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|CLOTHING_EXPOSURE|NONE,2,OVERLAP,OBJECT_PROP,OBJECT_PROP,CLOTHING_EXPOSURE,NONE,armbinder;towel_slip,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|OBJECT_PROP|IMPLEMENT_OBJECT|EXPLICIT_SEX,2,OVERLAP,OBJECT_PROP/DAILY,OBJECT_PROP,IMPLEMENT_OBJECT,EXPLICIT_SEX,onahole;used_onahole,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|PERSON_COUNT|MULTI_ACTOR_INTERACTION|NONE,2,OVERLAP,PERSON_COUNT,PERSON_COUNT,MULTI_ACTOR_INTERACTION,NONE,fivesome;foursome,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|PERSON_COUNT|NONHUMAN_INTERACTION|NONE,2,OVERLAP,PERSON_COUNT,PERSON_COUNT,NONHUMAN_INTERACTION,NONE,squid_girl;tentacle_girl,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|PLACE_BACKGROUND|SCENE_CONTEXT|NONE,2,OVERLAP,PLACE_BACKGROUND,PLACE_BACKGROUND,SCENE_CONTEXT,NONE,glory_wall;walk-in,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|POSE_MOVEMENT|CLOTHING_EXPOSURE|NONE,2,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,CLOTHING_EXPOSURE,NONE,ass_lift;bouncing_ass,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
OVERLAP|POSE_MOVEMENT|DIRECT_COMPOSITE|ANATOMY,2,OVERLAP,POSE_MOVEMENT,POSE_MOVEMENT,DIRECT_COMPOSITE,ANATOMY,ofuda_on_nipples;ofuda_on_pussy,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
SPECIAL_ONLY|(none)|(none)|ANATOMY+EXPLICIT_SEX,2,SPECIAL_ONLY,(none),(none),(none),ANATOMY+EXPLICIT_SEX,anal_creampie;nipple_fuck,BOUNDARY_REVIEW,special_or_overlap_membership,mine exact SEXUAL/CONTEXTUAL/NON_SEXUAL concept rules or review queue; do not bulk-promote
GENERAL_ONLY|(none)|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,(none),(none),(none),ADULT_ROLE_DEVICE,italian_senate_porn_livestream_(meme),BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|(none)|EXPLICIT_SEX,1,GENERAL_ONLY,(none),(none),(none),EXPLICIT_SEX,sex_ed,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|ADULT_ROLE_DEVICE,1,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),ADULT_ROLE_DEVICE,buying_condoms,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
GENERAL_ONLY|ACTION_CONTACT/INTERACTION|ANATOMY,1,GENERAL_ONLY,ACTION_CONTACT/INTERACTION,ACTION_CONTACT,(none),ANATOMY,face_in_crotch,BOUNDARY_REVIEW,explicit_risk_flag,keep out of NON_SEXUAL bulk; review/derive exact-concept boundary rules
